A:char(25)	B:char(25)	C:int	D:int	E:char(25)
Ohio	Oregon	9	92	Hornet
Delaware	California	7	45	Zebra
Alaska	TRINIDAD_AND_TOBAGO	0	54	Fish
Missouri	Denmark	2	75	Giraffe
Arizona	Uruguay	8	66	Manatee
Montana	Ecuador	8	15	Ostrich
Minnesota	Ghana	6	27	Beaver
Tennessee	Colombia	8	12	Ram
Maine	EL_SALVADOR	0	78	Fox
Nevada	Slovenia	1	7	Moose
Iowa	Canada	9	31	Polecat
New_Hampshire	Jordan	0	3	Ram
Minnesota	Luxembourg	8	97	Bullhead_shark
Maryland	Tuvalu	3	4	Black_panther
Pennsylvania	Latvia	1	24	Raven
Arizona	Mississippi	7	77	Dogfish
Connecticut	Maine	9	81	Mouse
Kansas	Uganda	2	79	Anatidae
Minnesota	DOMINICAN_REPUBLIC	7	95	Wombat
Minnesota	South_Carolina	8	56	Coccinellidae
Missouri	Malawi	0	84	Human
Texas	EQUATORIAL_GUINEA	7	91	Pristiophorus
Oklahoma	Lithuania	0	82	Swan
Ohio	Maryland	4	65	Skunk
Michigan	Latvia	7	87	Giraffe
Idaho	Washington	3	87	Sawshark
Oregon	Thailand	0	48	Lamna
Pennsylvania	EL_SALVADOR	7	19	Louse
Oklahoma	Slovenia	2	82	Reindeer
South_Carolina	Morocco	3	88	Jackal
Virginia	Vatican_City	2	7	Mouse
Wisconsin	MARSHALL_ISLANDS	7	42	Moose
Mississippi	Tonga	8	43	Bullhead_shark
Ohio	Madagascar	8	47	Negaprion
Oklahoma	France	5	56	Magpie
Mississippi	Netherlands	0	43	Poroderma
Wyoming	Malta	6	68	Cheetah
Delaware	Taiwan	5	45	Baboon
Tennessee	Uruguay	8	60	Otter
Alabama	Zimbabwe	1	40	Triakis
Wyoming	Texas	0	50	Magpie
Arkansas	New_Jersey	5	26	Goldfinch
Louisiana	NEW_ZEALAND	4	88	Parmaturus
Georgia	Mozambique	1	3	Isogomphodon
Connecticut	Thailand	0	41	Cirrhoscyllium
Pennsylvania	Mozambique	9	89	Sphyrna_lewini
Washington	Taiwan	3	23	Pinniped
Massachusetts	Massachusetts	8	67	Chiloscyllium
Mississippi	Singapore	2	95	Badger
Rhode_Island	New_Jersey	3	38	Louse
Virginia	Malta	5	72	Manatee
South_Dakota	France	9	28	Rhizoprionodon
Rhode_Island	Ireland	3	62	Beaver
Louisiana	Luxembourg	1	56	Isogomphodon
North_Dakota	Colombia	6	1	Swan
West Virginia	Romania	1	53	Orectolobus
Pennsylvania	Maryland	4	46	Poroderma
Rhode_Island	Wyoming	9	54	Manatee
Massachusetts	Wisconsin	9	81	Dolphin
Nebraska	Massachusetts	3	79	Pelican
Michigan	Wyoming	0	8	Partridge
Utah	Virginia	2	95	Coyote
Kansas	Hawaii	5	54	Swan
New_Jersey	Zambia	8	10	Pinniped
Nebraska	Netherlands	8	0	Bison
Oklahoma	Illinois	6	10	Pinniped
Rhode_Island	Netherlands	2	81	Chamois
North_Carolina	Tuvalu	5	68	Poroderma
Wyoming	Oregon	0	8	Hawk
Indiana	Taiwan	3	55	Pelican
Texas	Luxembourg	7	11	Manatee
Colorado	Georgia	0	9	Mule
South_Dakota	Wisconsin	4	71	Goldfinch
California	Maryland	0	17	Black_panther
Rhode_Island	Minnesota	1	78	Swan
Massachusetts	Florida	7	34	Sawshark
New_Jersey	Namibia	6	87	Swan
Massachusetts	Ethiopia	3	61	Beaver
Wyoming	Zambia	1	28	Hawk
Oklahoma	DOMINICAN_REPUBLIC	2	22	Black_panther
North_Carolina	Oregon	5	44	Coyote
Wisconsin	Ghana	3	25	Coyote
Nebraska	Lithuania	2	54	Dogfish
Massachusetts	Luxembourg	2	26	Lamna
Arizona	TRINIDAD_AND_TOBAGO	3	44	Peafowl
North_Dakota	New_Jersey	4	46	Sawshark
Ohio	Nauru	5	84	Apristurus
Pennsylvania	Tunisia	9	62	Apristurus
Georgia	Turkey	1	43	Giant_Panda
Louisiana	Vatican_City	2	90	Alligator
Delaware	Kiribati	4	6	Dolphin
Alaska	Uruguay	0	58	Anatidae
Connecticut	Washington	1	29	Mallard
Maine	CZECH_REPUBLIC	6	6	Whale_Shark
Colorado	Illinois	9	30	Quail
Louisiana	CZECH_REPUBLIC	3	23	Human
New_Hampshire	Sweden	1	82	Rhizoprionodon
Washington	Ireland	6	43	Gerbil
Oklahoma	DOMINICAN_REPUBLIC	7	87	American_Bison
Minnesota	Saudi_Arabia	2	30	Rhizoprionodon
California	Turkey	8	92	Fish
Iowa	Samoa	5	86	Coyote
Georgia	Taiwan	4	23	Donkey
Michigan	Maryland	1	15	Parascyllium
Michigan	Romania	4	1	Bullhead_shark
Delaware	Uzbekistan	2	67	Manatee
North_Carolina	Maine	3	30	Bison
Illinois	EL_SALVADOR	1	35	Jackal
Tennessee	Madagascar	5	33	Lamna
North_Carolina	Grenada	9	9	Ram
Maine	Malta	0	32	Ram
New_Mexico	Mozambique	6	29	Carcharhiniformes
Arizona	Greece	5	4	Swallow
Oklahoma	Illinois	4	21	Ram
Mississippi	Massachusetts	5	26	Mallard
South_Dakota	Romania	9	99	Pelican
Wyoming	Thailand	3	69	Lion
Montana	Nepal	7	11	Magpie
Pennsylvania	Virginia	6	83	Wren
South_Carolina	France	5	94	Nightingale
Alabama	Finland	1	49	Flamingo
New_York	Guatemala	3	83	Giraffe
Alabama	Georgia	7	49	Scoliodon
Virginia	Colombia	6	17	Negaprion
Hawaii	Maryland	1	90	Carcharhiniformes
Idaho	France	7	52	Whale_Shark
Florida	Uganda	1	77	Lion
Nevada	Luxembourg	6	91	Snipe
Michigan	Serbia	6	65	Flamingo
Alaska	Tuvalu	3	77	Baboon
Washington	Sudan	1	71	Pinniped
Idaho	Michigan	1	86	Jaguar
Maryland	Uzbekistan	9	84	Swallow
Tennessee	Uzbekistan	2	8	Coyote
South_Dakota	Wisconsin	5	12	Flamingo
Oregon	Colombia	1	55	Cheetah
Texas	Illinois	8	90	Parascyllium
South_Dakota	Latvia	8	29	Hyena
California	Slovakia	1	10	Bullhead_shark
Pennsylvania	Denmark	1	47	Coyote
Kentucky	Malawi	6	41	Lamna
Connecticut	Missouri	2	58	Polecat
Colorado	EQUATORIAL_GUINEA	7	81	Dolphin
Michigan	Barbados	4	74	Triaenodon
Louisiana	Oregon	6	45	Gerbil
Georgia	CZECH_REPUBLIC	9	60	Ostrich
Wisconsin	Vatican_City	3	97	Hamster
Florida	CZECH_REPUBLIC	8	87	Camel
Minnesota	Dominica	7	70	Rhizoprionodon
Vermont	South_Carolina	8	31	Sphyrna_lewini
Maryland	Maine	2	31	Pinniped
South_Carolina	Lithuania	5	59	Carcharhiniformes
New_Hampshire	Malta	4	13	Otter
Nevada	Australia	5	97	Jaguar
Idaho	Nigeria	3	59	Orectolobus
North_Dakota	Monaco	2	64	Hemitriakis
Maine	Nauru	8	93	Rhizoprionodon
New_Mexico	Ghana	0	80	Gazelle
Massachusetts	Virginia	3	1	American_Bison
California	Sweden	9	52	Coccinellidae
New_Jersey	Kiribati	6	66	Lamniformes
Connecticut	Barbados	7	85	Parmaturus
Connecticut	Australia	9	55	Sheep
Florida	Saudi_Arabia	0	59	Fish
Michigan	Kiribati	6	92	Gorilla
Montana	Turkey	1	78	Coyote
New_Hampshire	COSTA_RICA	3	92	Lamna
Vermont	Finland	0	91	Carcharhiniformes
West Virginia	Thailand	6	66	Cobra
New_Mexico	California	6	9	Isurus
New_Mexico	Oregon	6	2	Baboon
Louisiana	Malawi	2	57	Reindeer
New_Hampshire	Canada	2	34	Quail
California	Mozambique	2	83	Echinorhinus
Oklahoma	New_Mexico	6	8	Pelican
Maryland	Ethiopia	6	52	Giant_Panda
Illinois	Hawaii	2	37	Ostrich
New_Hampshire	Turkey	1	71	Human
Texas	Uganda	3	97	Nightingale
Idaho	Slovakia	6	18	Wren
Arkansas	Cyprus	6	87	Polecat
Alabama	Florida	2	89	Skunk
North_Carolina	Tuvalu	9	87	Moose
Illinois	Madagascar	3	42	Orectolobus
Alabama	Minnesota	0	75	Carcharhinus
Iowa	Ethiopia	3	80	Guanaco
Oregon	Mozambique	4	7	Bison
Kansas	NEW_ZEALAND	5	3	Beaver
Arkansas	Barbados	6	12	Wombat
Georgia	North_Carolina	6	77	Isurus
Rhode_Island	Cyprus	8	26	Skunk
New_Mexico	MARSHALL_ISLANDS	9	98	Cobra
Utah	Thailand	4	61	Partridge
Kentucky	Ireland	2	44	Apristurus
Utah	Sudan	2	79	Camel
Michigan	Georgia	5	38	Cobra
Washington	Washington	1	90	Mouse
Rhode_Island	Alaska	5	26	Prionace
Montana	Oregon	9	33	Hornet
Rhode_Island	Tanzania	2	32	Poroderma
Kansas	Nauru	2	62	Anatidae
Georgia	Tanzania	3	74	Sawshark
Oregon	Rhode_Island	0	16	Triakis
Nebraska	Australia	7	54	Wren
Tennessee	Wisconsin	3	18	Lamniformes
South_Carolina	Oregon	9	47	Hornet
Minnesota	Malaysia	6	91	Camel
Wyoming	Greece	5	16	Sheep
Connecticut	Rhode_Island	5	70	Fox
New_York	Maryland	9	47	Coyote
Arkansas	Virginia	8	87	Carcharhiniformes
New_York	Washington	9	27	Jaguar
Georgia	Grenada	1	88	Donkey
Arkansas	EL_SALVADOR	0	63	Hornet
Massachusetts	Ethiopia	3	4	Sphyrna_lewini
Mississippi	Hawaii	3	2	Raven
Alabama	Tunisia	2	97	Gerbil
New_Hampshire	France	2	80	Heron
Utah	Nigeria	9	1	Prionace
Connecticut	Sweden	1	8	Sheep
New_York	Hawaii	9	24	Parascyllium
Rhode_Island	France	4	25	Coyote
North_Carolina	WESTERN_SAHARA	2	61	Bullhead_shark
Hawaii	New_Jersey	4	31	Columbidae
Kansas	Greece	8	19	Dolphin
New_Mexico	Texas	2	10	Cheetah
Kentucky	Monaco	4	37	Black_panther
Mississippi	Denmark	8	13	Flamingo
South_Dakota	Romania	9	55	Ostrich
Alabama	Maine	7	59	Ram
Florida	New_Mexico	8	43	Sawshark
Michigan	Georgia	8	44	Pygmy_Shark
Arkansas	Saudi_Arabia	5	56	Beaver
Pennsylvania	Monaco	3	90	Triakis
Vermont	Italy	5	23	Squaliformes
Utah	Tuvalu	7	23	Jackal
Idaho	NEW_ZEALAND	4	32	Human
Hawaii	Slovenia	1	69	Pony
North_Dakota	Uganda	5	47	Coccinellidae
Texas	Latvia	3	35	Squaliformes
Indiana	Finland	7	9	Coccinellidae
South_Dakota	Ukraine	1	35	Lion
Utah	Uganda	6	4	Swan
Maine	NEW_ZEALAND	3	99	Negaprion
Vermont	Ecuador	1	25	Snipe
Rhode_Island	MARSHALL_ISLANDS	6	47	Wren
Rhode_Island	Jordan	4	19	Ostrich
Tennessee	Massachusetts	0	97	Heron
California	NEW_ZEALAND	7	15	Apristurus
Illinois	Alabama	9	96	Human
Missouri	Australia	7	39	Hyena
Oregon	Spain	3	24	Coccinellidae
Kentucky	Wyoming	1	72	Hemiscyllium
Arizona	Latvia	0	76	Moose
Kentucky	Jordan	0	6	Raven
Georgia	Netherlands	7	38	Cirrhoscyllium
Massachusetts	North_Carolina	0	70	Human
Virginia	Tunisia	7	28	Lamna
New_Hampshire	NEW_ZEALAND	4	24	Sheep
South_Carolina	Michigan	0	30	Otter
Maryland	Mozambique	7	37	Cobra
Alaska	Italy	3	97	Guanaco
Georgia	Thailand	5	70	Otter
Mississippi	Uzbekistan	7	85	Crow
Massachusetts	Rhode_Island	8	41	Crow
Rhode_Island	Ireland	0	83	Dolphin
North_Dakota	Cyprus	3	14	Moose
Delaware	Ghana	6	51	Parmaturus
Wyoming	Nepal	4	18	Isogomphodon
California	Pennsylvania	6	8	Gerbil
New_Hampshire	Kiribati	9	40	Dolphin
New_Jersey	Slovenia	8	91	Raven
Arizona	Latvia	8	70	Echinorhinus
Massachusetts	Turkey	6	56	Alligator
Utah	TRINIDAD_AND_TOBAGO	7	21	Pristiophorus
New_Hampshire	Tuvalu	0	35	American_Bison
Kentucky	Nigeria	1	18	Triaenodon
North_Dakota	Italy	2	1	Carcharhinus
Texas	Wisconsin	5	76	Heron
Louisiana	Nigeria	0	24	Cirrhoscyllium
Vermont	Namibia	2	28	Wombat
California	WESTERN_SAHARA	7	52	Negaprion
Hawaii	Maryland	7	77	Sawshark
Massachusetts	Japan	9	93	Whale_Shark
Oregon	NEW_ZEALAND	3	48	Pelican
Pennsylvania	Georgia	1	51	Donkey
Texas	Wisconsin	8	72	Giraffe
Iowa	Malaysia	0	98	Wombat
New_Mexico	EL_SALVADOR	5	89	Swan
Montana	Maryland	5	55	Pygmy_Shark
North_Carolina	Ghana	0	12	Isurus
New_York	New_Jersey	8	72	Hemiscyllium
Virginia	Washington	6	47	Columbidae
New_Jersey	Illinois	4	30	Jackal
Georgia	Tennessee	6	35	Alligator
Pennsylvania	Luxembourg	9	64	Cormorant
Utah	Grenada	2	23	Columbidae
South_Dakota	Saudi_Arabia	9	25	Isogomphodon
California	South_Carolina	8	83	Pristiophorus
Rhode_Island	Nebraska	9	71	Angel_shark
Alaska	Taiwan	7	22	Guanaco
Wyoming	Romania	2	81	Moose
Alaska	Uruguay	8	17	Hyena
Arizona	Ireland	1	91	Guanaco
Nevada	Wisconsin	1	17	Gorilla
California	Minnesota	1	46	American_Bison
New_Hampshire	Malta	5	38	Peafowl
Missouri	New_Mexico	9	51	Goldfinch
Michigan	Colombia	8	50	Louse
Wisconsin	New_Jersey	4	14	Pygmy_Shark
Tennessee	Kiribati	2	64	Ram
Massachusetts	Tunisia	9	99	Ostrich
South_Dakota	Nigeria	2	1	Lion
South_Dakota	Japan	2	95	Quail
Virginia	Massachusetts	9	24	Bullhead_shark
North_Carolina	Croatia	7	3	Louse
Nebraska	Switzerland	9	6	Swallow
West Virginia	North_Carolina	0	72	Cobra
Alaska	Louisiana	2	32	Lamniformes
Vermont	Lithuania	7	6	Angel_shark
Virginia	Thailand	4	14	Pony
North_Carolina	Illinois	4	21	Manatee
Michigan	Tunisia	1	61	Pristiophorus
Indiana	Missouri	8	66	Chamois
Delaware	Jordan	3	77	American_Bison
Maryland	Guatemala	8	97	Coyote
Washington	Mozambique	4	90	Pelican
Idaho	Madagascar	3	24	Carcharhiniformes
Georgia	Illinois	1	35	Heron
South_Carolina	COSTA_RICA	5	46	American_Bison
Kentucky	Nepal	7	37	Giant_Panda
Nebraska	MARSHALL_ISLANDS	2	20	Fish
Oklahoma	Ghana	6	13	Wombat
Tennessee	Guatemala	9	2	Pinniped
Virginia	Missouri	6	70	Cormorant
Tennessee	Luxembourg	7	9	Mule
Mississippi	Zimbabwe	9	93	Flamingo
New_Mexico	Italy	0	23	Polecat
Arizona	Jordan	0	1	Bullhead_shark
Oklahoma	Uruguay	1	95	Rhinoceros
Ohio	Japan	2	6	Pinniped
New_Mexico	Wyoming	1	6	Gazelle
Colorado	Greece	1	87	Pinniped
Virginia	Alaska	1	48	Otter
Washington	Serbia	9	0	Badger
Maine	Tonga	1	20	Black_panther
Montana	Cyprus	2	66	Angel_shark
Alabama	Slovakia	3	63	Prionace
Iowa	Zambia	0	93	Louse
New_Jersey	Spain	2	9	Giant_Panda
Tennessee	Virginia	3	98	Dogfish
Ohio	Tennessee	4	31	Cheetah
Utah	Wyoming	4	78	Isogomphodon
AAA	BBB	10	100	EEE
AAAA	BBBB	10	100	EEEE
